"numero_documento","objeto_documento","valor_contrato","lat_documento","long_documento","cidade","uf","user","dias_vigencia","ug","codigo_gestao"
"0004/2016","Construção do Túnel Rodoviário de Taguatinga.",199935865.75,-15.832633,-48.056812,NULL,NULL,772,-127,"190101","1"
"0005/2016","Construção de pista de cooper na Vila Planalto, em Brasília - DF.",540566.6,-15.7981374478232,-47.8514664620161,NULL,NULL,41,749,"190101","1"
"0006/2016","Execução de pavimentação asfáltica, meios-fios, drenagem pluvial e execução de obras de artes especiais em Vicente Pires - RA-XXX - DF.",39979419.38,-15.7945273908421,-48.0395543575287,NULL,NULL,772,-145,"190101","1"
"0008/2016","Execução de pavimentação asfáltica, meios-fios, drenagem pluvial e execução de obras de artes especiais em Vicente Pires - RA-XXX - DF.",45900000,-15.8074110310625,-48.0352628231049,NULL,NULL,772,62,"190101","1"
"0015/2016","Execução de obras de pavimentação, drenagem pluvial, sinalização viária e obras complementares no Setor Habitacional Ribeirão - Porto Rico, em Santa Maria - DF. Lote 03.",2705342.94,-16.028062,-48.003073,NULL,NULL,29,1551,"190101","1"
"0019/2016","Execução de pavimentação asfáltica, meios-fios, drenagem pluvial e execução de obras de artes especiais em Vicente Pires - RA-XXX - DF.",60617472.64,-15.8077826623633,-48.0181396007538,NULL,NULL,772,-157,"190101","1"
"0020/2016","Execução de pavimentação asfáltica, meios-fios, drenagem pluvial e execução de obras de artes especiais em Vicente Pires - RA-XXX - DF.",45145038.77,-15.7946925709041,-48.0193841457367,NULL,NULL,772,-36,"190101","1"
"0020/2016","Execução de pavimentação asfáltica, meios-fios, drenagem pluvial e execução de obras de artes especiais em Vicente Pires - RA-XXX - DF.",45145038.77,-15.7946925709041,-48.0193841457367,NULL,NULL,788,-36,"190101","1"
"0021/2016","Execução de pavimentação asfáltica, meios-fios, drenagem pluvial e execução de obras de artes especiais em Vicente Pires - RA-XXX - DF.",63222788.26,-15.7997304980796,-48.0410993099213,NULL,NULL,772,-36,"190101","1"
"0022/2016","Execução de pavimentação asfáltica, drenagem pluvial e sinalização no corredor de transporte público do Eixo Oeste do Distrito Federal - Taguatinga/Ceilândia (Via de ligação da Avenida Hélio Prates a Avenida Principal do Sol Nascente).",3881256.39,-15.832633,-48.056812,NULL,NULL,772,269,"190101","1"
"0002/2017","Fornecimento de energia elétrica, e a utilização de postes para uso exclusivo ao Sistema de Iluminação Pública do Distrito Federal, segundo a estrutura tarifária, modalidade, subgrupo de tensão, nas quantidades e períodos estabelecidos",155061361.36,-15.7940705640319,-47.8827953338623,NULL,NULL,691,1134,"190101","1"
"0003/2017","a prestação dos serviços descritos como Etapa 1 (Estudo Preliminar e Projeto Básico) e Etapa 2 (Fiscalização e Projeto “as built”), conforme Anexo I, visando proporcionar a execução de obras de implantação, expansão e melhoria do Sistema de Iluminação Pública do Distrito Federal",17913801.6,-15.7693229492227,-47.8899943828583,NULL,NULL,691,390,"190101","1"
"0005/2017","Execução de campo de futebol de grama sintética (46x66), na QNM 13 Lote ""A"" Centro de Ensino Médio 03 - Região Administrativa de Ceilândia - RA - IX.",474600.62,-15.8594301864097,-48.0392217636108,NULL,NULL,847,805,"190101","1"
"CV-0001/2017","Obras de expansão, implantação e melhorias no Sistema de Iluminação Pública do Distrito Federal. ",43525881.6,-15.7902180398918,-47.9179469208984,NULL,NULL,187,88,"190101","1"
"0001/2018","Execução de serviços de pavimentação e drenagem pluvial/urbanização no Setor Habitacional Bernardo Sayão/Arniqueiras - RA-VIII - DF.",7795586.94,-15.8709692165774,-47.9689719914017,"","  ",847,97,"190101","1"
"0004/2018","O Contrato tem por objeto a execução dos serviços de manutenção do Parque de Iluminação Pública no Distrito Federal – PIP, compreendendo: gestão dos serviços, consultoria técnica-operacional, engenharia de manutenção, operação e manutenção preditiva, preventiva e corretiva, conforme especificado na Nota Técnica nº 001/2018-SIP, de abril/2018 (8374651), Nota Técnica nº 001/2018A-SIP (8374776), de abril/2018 e do Termo de Referência (9893326).",139218689,-15.7941531542659,-47.8754568099976,NULL,NULL,29,-72,"190101","1"
"0063/2018","Prestação  de serviços técnicos de levantamento topográfico planialtimétrico cadastral georreferenciado para acompanhamento da execução das obras de urbanização contratadas pela Secretaria de Estado de Infraestrutura e Serviços Públicos - SINESP e fiscalizados pela Companhia Urbanizadora da Nova Capital do Brasil- NOVACAP, em Vicente Pires /DF.",3598969.97,-15.7606291689663,-48.0874237729493,"","  ",818,-212,"190101","1"
"0004/2019","execução dos serviços geotécnicos de sondagem à percussão (sondagem de simples reconhecimento), também conhecida pela sigla SPT do inglês “Standard Penetration Test” e sondagem mista (SM) no local de implantação da bacia de detenção para o lançamento da drenagem pluvial no Ribeirão Riacho Fundo, nas proximidades do Zoológico, na área central de Brasília, para as obras do Corredor do Eixo Oeste de Transporte do Distrito Federal, com fornecimento de material, mão de obra e equipamentos, sob a responsabilidade da Secretaria de Estado de Obras e Infraestrutura do Distrito Federal – SODF.
",15670,-15.844444345915,-47.9433059692383,NULL,NULL,847,571,"190101","1"
"0011/2019","Execução de obras de drenagem e pavimentação para o trecho denominado ""Rota de Fuga"", no Setor de Inflamáveis, no Setor de Indústria e Abastecimento SIA RA XXIX Distrito Federal.",10132497.91,-15.8029845518559,-47.9889326403809,NULL,NULL,50,-69,"190101","1"
"0001/2020","Objetivando a contratação pelo Distrito Federal, por meio da Secretaria de Estado de Obras e Infraestrutura do Distrito Federal, de empresa de engenharia especializada para elaboração do projeto executivo, e consequente execução dos serviços de construção da bacia de detenção, do canal e bueiro N.A.T.M (New Austrian Tunnelling Method), cerca viva e plantio de grama no km 4 da DF-290  Região Administrativa de Santa Maria – DF, devidamente especificado no Edital e seus anexos.",4737784.41,-16.049020102675,-48.017646074295,NULL,NULL,715,-22,"190101","1"
"0002/2020","Contratação de empresa para execução dos serviços de revitalização da W3 Sul Quadras 509 e 510, em Brasília - DF, contemplando a Readequação do Sistema Viário com estacionamentos, a Acessibilidade e Paisagismo, as Obras Complementares de Drenagem e Sinalização na Área Central de Brasília – DF, devidamente especificado no Edital e seus anexos.",2350027.23,-15.8166990281568,-47.9118061065674,NULL,NULL,908,79,"190101","1"
"0021/2012-SEGOV","Prestação de serviços a serem executados de forma contínua, correspondentes a consultoria, engenharia de manutenção, operação, manutenção preventiva e corretiva, bem como o gerenciamento do parque de iluminação pública do DF",18954560.88,-15.7922148558314,-47.8734719753265,NULL,NULL,772,1359,"190101","1"
